代码,名称,最新价,涨跌幅,成交额,换手率,市盈率-动态,score,tradingagents_ticker
603259,药明康德,118.18,0.82,8135339308.0,2.77,18.95,87.84722222222221,603259.SS
600160,巨化股份,50.95,0.3,5106653157.0,3.71,29.32,87.4621212121212,600160.SS
601958,金钼股份,27.13,0.82,3585432501.0,4.06,24.27,85.27146464646465,601958.SS
002056,横店东磁,30.52,1.06,3687776575.56,7.34,32.16,85.13257575757575,002056.SZ
601066,中信建投,30.25,2.33,4499099665.0,2.25,15.99,84.6969696969697,601066.SS
002179,中航光电,42.69,0.83,2895966626.09,3.2,56.28,84.04040404040404,002179.SZ
603929,亚翔集成,260.85,2.27,3664248858.0,6.58,56.11,83.7689393939394,603929.SS
600176,中国巨石,74.12,4.69,16627659627.0,5.67,58.54,83.44696969696969,600176.SS
688019,安集科技,274.48,2.21,3147540621.0,5.11,75.17,83.0050505050505,688019.SS
002015,协鑫能科,17.62,0.74,2294609204.49,7.84,24.84,82.44318181818181,002015.SZ
